,mp,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,ts%,efg%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ortg,drtg,mp_max,mp_max,fg_max,fga_max,fg%_max,3p_max,3pa_max,3p%_max,ft_max,fta_max,ft%_max,orb_max,drb_max,trb_max,ast_max,stl_max,blk_max,tov_max,pf_max,pts_max,gmsc_max,+/-_max,ts%_max,efg%_max,3par_max,ftr_max,orb%_max,drb%_max,trb%_max,ast%_max,stl%_max,blk%_max,tov%_max,usg%_max,ortg_max,drtg_max,team,total,home,index_opp,mp_opp,mp_opp,fg_opp,fga_opp,fg%_opp,3p_opp,3pa_opp,3p%_opp,ft_opp,fta_opp,ft%_opp,orb_opp,drb_opp,trb_opp,ast_opp,stl_opp,blk_opp,tov_opp,pf_opp,pts_opp,gmsc_opp,+/-_opp,ts%_opp,efg%_opp,3par_opp,ftr_opp,orb%_opp,drb%_opp,trb%_opp,ast%_opp,stl%_opp,blk%_opp,tov%_opp,usg%_opp,ortg_opp,drtg_opp,mp_max_opp,mp_max_opp,fg_max_opp,fga_max_opp,fg%_max_opp,3p_max_opp,3pa_max_opp,3p%_max_opp,ft_max_opp,fta_max_opp,ft%_max_opp,orb_max_opp,drb_max_opp,trb_max_opp,ast_max_opp,stl_max_opp,blk_max_opp,tov_max_opp,pf_max_opp,pts_max_opp,gmsc_max_opp,+/-_max_opp,ts%_max_opp,efg%_max_opp,3par_max_opp,ftr_max_opp,orb%_max_opp,drb%_max_opp,trb%_max_opp,ast%_max_opp,stl%_max_opp,blk%_max_opp,tov%_max_opp,usg%_max_opp,ortg_max_opp,drtg_max_opp,team_opp,total_opp,home_opp,season,date,won
0,265.0,265.0,46.0,100.0,0.46,15.0,39.0,0.385,25.0,32.0,0.781,11.0,32.0,43.0,23.0,9.0,6.0,13.0,29.0,132.0,,,0.579,0.535,0.39,0.32,23.4,78.0,48.9,50.0,8.1,9.0,10.2,100.0,118.7,124.1,,,16.0,34.0,0.75,7.0,15.0,1.0,7.0,9.0,1.0,4.0,10.0,14.0,6.0,2.0,3.0,3.0,6.0,46.0,31.2,6.0,0.922,0.875,1.0,2.0,16.2,37.1,25.9,22.9,6.4,6.1,25.0,39.5,197.0,132.0,UTA,132,0,1,265.0,265.0,51.0,93.0,0.548,11.0,26.0,0.423,25.0,35.0,0.714,9.0,36.0,45.0,29.0,8.0,9.0,13.0,27.0,138.0,,,0.637,0.608,0.28,0.376,22.0,76.6,51.1,56.9,7.2,14.8,10.7,100.0,124.1,118.7,,,15.0,25.0,1.0,3.0,8.0,1.0,16.0,20.0,0.8,4.0,7.0,11.0,13.0,3.0,3.0,4.0,6.0,49.0,38.4,23.0,0.945,1.0,0.625,1.333,14.3,44.2,23.6,33.7,3.9,7.2,20.7,39.9,160.0,125.0,NOP,138,1,2020,2020-01-16,False
1,265.0,265.0,51.0,93.0,0.548,11.0,26.0,0.423,25.0,35.0,0.714,9.0,36.0,45.0,29.0,8.0,9.0,13.0,27.0,138.0,,,0.637,0.608,0.28,0.376,22.0,76.6,51.1,56.9,7.2,14.8,10.7,100.0,124.1,118.7,,,15.0,25.0,1.0,3.0,8.0,1.0,16.0,20.0,0.8,4.0,7.0,11.0,13.0,3.0,3.0,4.0,6.0,49.0,38.4,23.0,0.945,1.0,0.625,1.333,14.3,44.2,23.6,33.7,3.9,7.2,20.7,39.9,160.0,125.0,NOP,138,1,0,265.0,265.0,46.0,100.0,0.46,15.0,39.0,0.385,25.0,32.0,0.781,11.0,32.0,43.0,23.0,9.0,6.0,13.0,29.0,132.0,,,0.579,0.535,0.39,0.32,23.4,78.0,48.9,50.0,8.1,9.0,10.2,100.0,118.7,124.1,,,16.0,34.0,0.75,7.0,15.0,1.0,7.0,9.0,1.0,4.0,10.0,14.0,6.0,2.0,3.0,3.0,6.0,46.0,31.2,6.0,0.922,0.875,1.0,2.0,16.2,37.1,25.9,22.9,6.4,6.1,25.0,39.5,197.0,132.0,UTA,132,0,2020,2020-01-16,True
2,240.0,240.0,44.0,85.0,0.518,9.0,30.0,0.3,15.0,22.0,0.682,8.0,32.0,40.0,25.0,6.0,5.0,12.0,22.0,112.0,,,0.591,0.571,0.353,0.259,21.1,71.1,48.2,56.8,6.2,11.9,11.2,100.0,115.3,123.5,,,13.0,25.0,0.9,3.0,10.0,0.5,5.0,7.0,1.0,4.0,14.0,18.0,10.0,2.0,5.0,4.0,4.0,34.0,25.8,11.0,0.831,0.9,1.0,0.6,13.9,41.0,28.6,42.6,4.5,15.7,20.0,36.3,157.0,131.0,POR,112,0,1,240.0,240.0,39.0,89.0,0.438,20.0,47.0,0.426,22.0,28.0,0.786,13.0,30.0,43.0,19.0,6.0,4.0,13.0,17.0,120.0,,,0.592,0.551,0.528,0.315,28.9,78.9,51.8,48.7,6.2,7.3,11.4,100.0,123.5,115.3,,,11.0,23.0,0.563,8.0,12.0,1.0,6.0,8.0,1.0,3.0,6.0,8.0,7.0,2.0,3.0,3.0,3.0,35.0,27.4,9.0,0.76,0.719,1.0,0.5,14.4,25.5,19.5,42.1,3.3,7.9,29.1,36.5,153.0,120.0,DAL,120,1,2020,2020-01-17,False
3,240.0,240.0,39.0,89.0,0.438,20.0,47.0,0.426,22.0,28.0,0.786,13.0,30.0,43.0,19.0,6.0,4.0,13.0,17.0,120.0,,,0.592,0.551,0.528,0.315,28.9,78.9,51.8,48.7,6.2,7.3,11.4,100.0,123.5,115.3,,,11.0,23.0,0.563,8.0,12.0,1.0,6.0,8.0,1.0,3.0,6.0,8.0,7.0,2.0,3.0,3.0,3.0,35.0,27.4,9.0,0.76,0.719,1.0,0.5,14.4,25.5,19.5,42.1,3.3,7.9,29.1,36.5,153.0,120.0,DAL,120,1,0,240.0,240.0,44.0,85.0,0.518,9.0,30.0,0.3,15.0,22.0,0.682,8.0,32.0,40.0,25.0,6.0,5.0,12.0,22.0,112.0,,,0.591,0.571,0.353,0.259,21.1,71.1,48.2,56.8,6.2,11.9,11.2,100.0,115.3,123.5,,,13.0,25.0,0.9,3.0,10.0,0.5,5.0,7.0,1.0,4.0,14.0,18.0,10.0,2.0,5.0,4.0,4.0,34.0,25.8,11.0,0.831,0.9,1.0,0.6,13.9,41.0,28.6,42.6,4.5,15.7,20.0,36.3,157.0,131.0,POR,112,0,2020,2020-01-17,True
4,240.0,240.0,34.0,94.0,0.362,8.0,32.0,0.25,7.0,8.0,0.875,7.0,43.0,50.0,15.0,8.0,5.0,7.0,22.0,83.0,,,0.426,0.404,0.34,0.085,12.5,86.0,47.2,44.1,8.2,8.5,6.7,100.0,85.0,88.0,,,11.0,28.0,0.5,3.0,8.0,0.375,5.0,6.0,1.0,3.0,10.0,11.0,5.0,4.0,3.0,4.0,6.0,30.0,21.6,6.0,0.5,0.5,0.75,0.214,14.4,27.5,17.7,38.9,4.6,8.1,33.3,37.1,109.0,96.0,BRK,83,0,1,240.0,240.0,34.0,90.0,0.378,6.0,31.0,0.194,12.0,19.0,0.632,7.0,49.0,56.0,12.0,3.0,8.0,10.0,12.0,86.0,,,0.437,0.411,0.344,0.211,14.0,87.5,52.8,35.3,3.1,12.9,9.2,100.0,88.0,85.0,,,14.0,31.0,0.667,3.0,8.0,0.5,8.0,9.0,0.889,2.0,15.0,15.0,5.0,1.0,6.0,5.0,4.0,35.0,22.9,10.0,0.604,0.667,1.0,0.36,16.5,29.5,23.4,17.7,4.2,100.0,12.5,41.2,136.0,94.0,MIL,86,1,2021,2021-06-10,False
5,240.0,240.0,34.0,90.0,0.378,6.0,31.0,0.194,12.0,19.0,0.632,7.0,49.0,56.0,12.0,3.0,8.0,10.0,12.0,86.0,,,0.437,0.411,0.344,0.211,14.0,87.5,52.8,35.3,3.1,12.9,9.2,100.0,88.0,85.0,,,14.0,31.0,0.667,3.0,8.0,0.5,8.0,9.0,0.889,2.0,15.0,15.0,5.0,1.0,6.0,5.0,4.0,35.0,22.9,10.0,0.604,0.667,1.0,0.36,16.5,29.5,23.4,17.7,4.2,100.0,12.5,41.2,136.0,94.0,MIL,86,1,0,240.0,240.0,34.0,94.0,0.362,8.0,32.0,0.25,7.0,8.0,0.875,7.0,43.0,50.0,15.0,8.0,5.0,7.0,22.0,83.0,,,0.426,0.404,0.34,0.085,12.5,86.0,47.2,44.1,8.2,8.5,6.7,100.0,85.0,88.0,,,11.0,28.0,0.5,3.0,8.0,0.375,5.0,6.0,1.0,3.0,10.0,11.0,5.0,4.0,3.0,4.0,6.0,30.0,21.6,6.0,0.5,0.5,0.75,0.214,14.4,27.5,17.7,38.9,4.6,8.1,33.3,37.1,109.0,96.0,BRK,83,0,2021,2021-06-10,True
6,240.0,240.0,42.0,92.0,0.457,17.0,41.0,0.415,23.0,29.0,0.793,7.0,36.0,43.0,24.0,6.0,4.0,10.0,22.0,124.0,,,0.592,0.549,0.446,0.315,14.9,80.0,46.7,57.1,5.7,6.9,8.7,100.0,118.6,115.7,,,10.0,22.0,0.9,8.0,11.0,1.0,8.0,10.0,1.0,4.0,7.0,11.0,8.0,2.0,2.0,5.0,5.0,36.0,33.2,20.0,0.928,0.95,0.8,0.5,14.0,25.6,19.7,35.4,3.5,5.7,16.7,36.4,175.0,120.0,SAC,124,0,1,240.0,240.0,45.0,93.0,0.484,12.0,35.0,0.343,19.0,22.0,0.864,9.0,40.0,49.0,25.0,5.0,5.0,12.0,22.0,121.0,,,0.589,0.548,0.376,0.237,20.0,85.1,53.3,55.6,4.8,9.8,10.5,100.0,115.7,118.6,,,14.0,24.0,0.833,6.0,11.0,1.0,7.0,8.0,1.0,3.0,11.0,14.0,11.0,3.0,2.0,5.0,4.0,34.0,26.0,4.0,0.917,0.917,0.778,0.889,13.5,39.1,25.4,37.0,3.9,6.1,25.0,34.5,160.0,124.0,POR,121,1,2022,2021-10-20,True
7,240.0,240.0,45.0,93.0,0.484,12.0,35.0,0.343,19.0,22.0,0.864,9.0,40.0,49.0,25.0,5.0,5.0,12.0,22.0,121.0,,,0.589,0.548,0.376,0.237,20.0,85.1,53.3,55.6,4.8,9.8,10.5,100.0,115.7,118.6,,,14.0,24.0,0.833,6.0,11.0,1.0,7.0,8.0,1.0,3.0,11.0,14.0,11.0,3.0,2.0,5.0,4.0,34.0,26.0,4.0,0.917,0.917,0.778,0.889,13.5,39.1,25.4,37.0,3.9,6.1,25.0,34.5,160.0,124.0,POR,121,1,0,240.0,240.0,42.0,92.0,0.457,17.0,41.0,0.415,23.0,29.0,0.793,7.0,36.0,43.0,24.0,6.0,4.0,10.0,22.0,124.0,,,0.592,0.549,0.446,0.315,14.9,80.0,46.7,57.1,5.7,6.9,8.7,100.0,118.6,115.7,,,10.0,22.0,0.9,8.0,11.0,1.0,8.0,10.0,1.0,4.0,7.0,11.0,8.0,2.0,2.0,5.0,5.0,36.0,33.2,20.0,0.928,0.95,0.8,0.5,14.0,25.6,19.7,35.4,3.5,5.7,16.7,36.4,175.0,120.0,SAC,124,0,2022,2021-10-20,False
8,240.0,240.0,34.0,86.0,0.395,5.0,26.0,0.192,25.0,32.0,0.781,10.0,34.0,44.0,19.0,13.0,4.0,17.0,18.0,98.0,,,0.49,0.424,0.302,0.372,21.3,85.0,50.6,55.9,12.4,7.8,14.5,100.0,93.6,106.0,,,7.0,13.0,0.556,1.0,6.0,1.0,6.0,6.0,1.0,6.0,5.0,9.0,5.0,3.0,1.0,5.0,4.0,16.0,15.3,6.0,0.781,0.625,0.75,1.0,23.3,27.1,18.9,34.2,6.2,6.4,31.5,29.1,168.0,116.0,GSW,98,0,1,240.0,240.0,39.0,81.0,0.481,15.0,30.0,0.5,18.0,23.0,0.783,6.0,37.0,43.0,27.0,10.0,3.0,22.0,23.0,111.0,,,0.609,0.574,0.37,0.284,15.0,78.7,49.4,69.2,9.6,5.0,19.4,100.0,106.0,93.6,,,7.0,17.0,0.778,4.0,10.0,0.667,7.0,8.0,1.0,1.0,10.0,10.0,7.0,2.0,2.0,6.0,5.0,21.0,19.2,26.0,0.911,1.0,1.0,0.571,17.2,37.4,21.0,39.7,5.8,7.9,100.0,32.9,172.0,104.0,SAC,111,1,2020,2020-01-06,False
9,240.0,240.0,39.0,81.0,0.481,15.0,30.0,0.5,18.0,23.0,0.783,6.0,37.0,43.0,27.0,10.0,3.0,22.0,23.0,111.0,,,0.609,0.574,0.37,0.284,15.0,78.7,49.4,69.2,9.6,5.0,19.4,100.0,106.0,93.6,,,7.0,17.0,0.778,4.0,10.0,0.667,7.0,8.0,1.0,1.0,10.0,10.0,7.0,2.0,2.0,6.0,5.0,21.0,19.2,26.0,0.911,1.0,1.0,0.571,17.2,37.4,21.0,39.7,5.8,7.9,100.0,32.9,172.0,104.0,SAC,111,1,0,240.0,240.0,34.0,86.0,0.395,5.0,26.0,0.192,25.0,32.0,0.781,10.0,34.0,44.0,19.0,13.0,4.0,17.0,18.0,98.0,,,0.49,0.424,0.302,0.372,21.3,85.0,50.6,55.9,12.4,7.8,14.5,100.0,93.6,106.0,,,7.0,13.0,0.556,1.0,6.0,1.0,6.0,6.0,1.0,6.0,5.0,9.0,5.0,3.0,1.0,5.0,4.0,16.0,15.3,6.0,0.781,0.625,0.75,1.0,23.3,27.1,18.9,34.2,6.2,6.4,31.5,29.1,168.0,116.0,GSW,98,0,2020,2020-01-06,True
